state,puma12,cbsa20,stab,CBSAName20
1,100,22520,AL,"Florence-Muscle Shoals, AL"
1,200,26620,AL,"Huntsville, AL"
1,301,26620,AL,"Huntsville, AL"
1,302,26620,AL,"Huntsville, AL"
1,400,22840,AL,"Fort Payne, AL"
1,500,10700,AL,"Albertville, AL"
1,600,19460,AL,"Decatur, AL"
1,700,18980,AL,"Cullman, AL"
1,800,13820,AL,"Birmingham-Hoover, AL"
1,900,23460,AL,"Gadsden, AL"
1,1000,45180,AL,"Talladega-Sylacauga, AL"
1,1100,11500,AL,"Anniston-Oxford, AL"
1,1200,13820,AL,"Birmingham-Hoover, AL"
1,1301,13820,AL,"Birmingham-Hoover, AL"
1,1302,13820,AL,"Birmingham-Hoover, AL"
1,1303,13820,AL,"Birmingham-Hoover, AL"
1,1304,13820,AL,"Birmingham-Hoover, AL"
1,1305,13820,AL,"Birmingham-Hoover, AL"
1,1400,27530,AL,"Jasper, AL"
1,1500,46220,AL,"Tuscaloosa, AL"
1,1600,46220,AL,"Tuscaloosa, AL"
1,1700,13820,AL,"Birmingham-Hoover, AL"
1,1800,10760,AL,"Alexander City, AL"
1,1900,12220,AL,"Auburn-Opelika, AL"
1,2000,33860,AL,"Montgomery, AL"
1,2100,33860,AL,"Montgomery, AL"
1,2200,12120,AL,"Atmore, AL"
1,2300,21460,AL,"Enterprise, AL"
1,2400,17980,AL,"Columbus, GA-AL"
1,2500,20020,AL,"Dothan, AL"
1,2600,19300,AL,"Daphne-Fairhope-Foley, AL"
1,2701,33660,AL,"Mobile, AL"
1,2702,33660,AL,"Mobile, AL"
1,2703,33660,AL,"Mobile, AL"
2,101,11260,AK,"Anchorage, AK"
2,102,11260,AK,"Anchorage, AK"
2,200,11260,AK,"Anchorage, AK"
2,300,11260,AK,"Anchorage, AK"
2,400,21820,AK,"Fairbanks, AK"
4,100,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,101,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,102,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,103,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,104,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,105,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,106,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,107,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,108,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
4,109,38060,AZ,"Phoenix-Mesa-Chandler, AZ"
